Domain,Function,Start_Timestamp,End_Timestamp,Correlation_ID
HIP_API_DOMAIN,"hipGetDevice",2833424470079766,2833424470079876,197
HIP_API_DOMAIN,"hipSetDevice",2833424470082149,2833424470082260,198
HIP_API_DOMAIN,"hipGetDevice",2833424470100827,2833424470100988,199
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833424470101809,2833424470478854,200
HIP_API_DOMAIN,"hipGetDevice",2833424470479916,2833424470480016,201
HIP_API_DOMAIN,"hipStreamSynchronize",2833424470481217,2833424470482690,202
HIP_API_DOMAIN,"hipGetDevice",2833449694323523,2833449694326197,203
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833449694331836,2833449694611294,204
HIP_API_DOMAIN,"hipGetDevice",2833449694611855,2833449694611995,205
HIP_API_DOMAIN,"hipGetDevice",2833449694615170,2833449694615260,206
HIP_API_DOMAIN,"hipSetDevice",2833449694618205,2833449694618886,207
HIP_API_DOMAIN,"hipGetDevice",2833449694695240,2833449694695651,208
HIP_API_DOMAIN,"hipGetDevice",2833449694697774,2833449694697864,209
HIP_API_DOMAIN,"hipGetDevice",2833449694701499,2833449694701590,210
HIP_API_DOMAIN,"hipSetDevice",2833449694703172,2833449694703332,211
HIP_API_DOMAIN,"hipSetDevice",2833449694703603,2833449694703853,212
HIP_API_DOMAIN,"hipGetDevice",2833449694746497,2833449694746617,213
HIP_API_DOMAIN,"hipSetDevice",2833449694749051,2833449694749151,214
HIP_API_DOMAIN,"hipGetDevice",2833449694775801,2833449694775911,215
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833449694776772,2833449695165234,216
HIP_API_DOMAIN,"hipGetDevice",2833449695166116,2833449695166216,217
HIP_API_DOMAIN,"hipStreamSynchronize",2833449695166937,2833449695167998,218
HIP_API_DOMAIN,"hipGetDevice",2833474918201282,2833474918204296,219
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833474918210486,2833474918443365,220
